Year,Month,Day,Achnanthes species,Actinoptychus senarius,Actinoptychus species,Actinoptychus splendens,Amphora species,Asterionellopsis glacialis,Asterionellopsis kariana,Asterolampra marylandica,Asteromphalus heptactis,Asteromphalus hookeri,Asteromphalus species,Aulacodiscus species,Aulacoscira granulata,Bacteriastrum delicatulum,Bacteriastrum elongatum,Bacteriastrum furcatum,Bacteriastrum solitarium,Bacteriastrum species,Biddulphia biddulphiana,Biddulphia sp. 1,Biddulphia sp. 2,Biddulphia species,Cerataulina pelagica,Cerataulina species,Cerataulus species,Chaetoceros aequatorialis,Chaetoceros affinis,Chaetoceros atlanticus,Chaetoceros borealis,Chaetoceros cinctus,Chaetoceros compressus,Chaetoceros concavicornis,Chaetoceros constrictus,Chaetoceros contortus,Chaetoceros convolutus,Chaetoceros costatus,Chaetoceros criophilus,Chaetoceros curvisetus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros decipiens,Chaetoceros densus,Chaetoceros diadema,Chaetoceros didymus,Chaetoceros difficilis,Chaetoceros eibenii,Chaetoceros furcellatus,Chaetoceros gracilis,Chaetoceros holsaticus,Chaetoceros laciniosus,Chaetoceros lorenzianus,Chaetoceros messanensis,Chaetoceros pelagicus,Chaetoceros peruvianus,Chaetoceros pseudocrinitus,Chaetoceros radicans,Chaetoceros similis,Chaetoceros simplex,Chaetoceros socialis,Chaetoceros sp. 1,Chaetoceros species,Chaetoceros teres ,Chaetoceros vanheurckii,Climacosphenia elongata,Climacosphenia species,Cocconeis costata,Cocconeis scutellum,Cocconeis species,Corethron criophilum,Coscinodiscus centralis,Coscinodiscus granii,Coscinodiscus radiatus,Coscinodiscus sp. 1,Coscinodiscus species,Cylindrotheca closterium,Dactyliosolen antarcticus,Dactyliosolen fragilissimus,Dactyliosolen species,Dactyliosolen tenuijunctus,Detonula pumila,Ditylum brightwellii,Ditylum species,Eucampia zodiacus,Eunotia species,Eupodiscus sp. 1,Fragilaria islandica,Fragilaria species,Fragilaria striatula,Fragilariopsis doliolus,Grammatophora marina,Grammatophora species,Guinardia delicatula,Guinardia flaccida,Guinardia striata,Helicotheca tamesis,Hemiaulus hauckii,Hemiaulus sinensis ,Hemiaulus sp. 1,Hemiaulus species,Isthmia nervosa,Isthmia species,Lauderia annulata,Leptocylindrus danicus,Leptocylindrus mediterraneus,Leptocylindrus minimus,Licmophora abbreviata,Licmophora species,Lithodesmium undulatum,Melosira arctica,Melosira dubia,Melosira species,Meuniera membranacea,Navicula species,Neocalyptrella robusta,Nitzschia longissima,Odontella aurita,Odontella longicruris,Odontella mobiliensis,Paralia sulcata ,Planktoniella sol,Pleurosigma species,Proboscia alata,Proboscia indica,Psammodiscus nitidus,Pseudo-nitzschia australis,Pseudo-nitzschia delicatissima,Pseudosolenia calcar-avis,Rhabdonema adriaticum ,Rhabdonema arcuatum,Rhabdonema species,Rhizosolenia hebetata f. semispina,Rhizosolenia imbricata,Rhizosolenia setigera,Rhizosolenia sp. 1,Rhizosolenia sp. 2,Rhizosolenia species,Rhizosolenia styliformis,Skeletonema costatum,Stephanopyxis nipponica,Stephanopyxis palmeriana,Stephanopyxis species,Stephanopyxis turris,Striatella unipunctata,Surirella species,Thalassionema frauenfeldii,Thalassionema nitzschioides,Thalassiosira aestivalis,Thalassiosira anguste-lineata,Thalassiosira bioculata,Thalassiosira decipiens,Thalassiosira eccentrica,Thalassiosira gravida,Thalassiosira hyalina,Thalassiosira nordenskioeldii,Thalassiosira pacifica,Thalassiosira punctigera,Thalassiosira rotula,Thalassiosira sp. 1,Thalassiosira species,Thalassiosira subtilis,Thalassiothrix longissima,Thalassiothrix sp. 1,Thalassiothrix sp. 2,Thalassiothrix species,Triceratium species,Tropidoneis species
1929 ,8 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 ,8 ,10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 ,8 ,17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 ,8 ,24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 ,8 ,31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 ,9 ,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 ,9 ,14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 ,9 ,21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 ,9 ,28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 ,10 ,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 ,10 ,12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 ,10 ,19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 ,10 ,26 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 ,11 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 ,11 ,9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 ,11 ,16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 ,11 ,23 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 ,11 ,30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 ,12 ,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 ,12 ,14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 ,12 ,21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 ,12 ,28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 ,1 ,7 ,,,,,,20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180 ,,,,,,,,,,,,,,,,,,,,,1900 ,,,,,,,,,,,,,100 ,,,120 ,,,,,,,,,,,,,620 ,,,,,,,,,,,,,80 ,,,60 ,,,,,,100 ,480 ,,1200 ,,,,,,60 ,40 ,,,1580 ,,,,,,,,,,,20 ,,,,,,,,200 ,,200 ,,,,,,,,,,,,,,,,,,,,
1930 ,1 ,14 ,,,,,,117 ,,,,,,,,,,,,200 ,,,,17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800 ,,,,,,,,,,,,,100 ,,,,,,,,,,,,,267 ,,,250 ,,,,133 ,,,67 ,,,,,,50 ,,,,,,,,,,883 ,,633 ,,50 ,,,,17 ,83 ,,,917 ,,,,,,,,17 ,,,50 ,,183 ,,,,,,17 ,,500 ,,,,,,,,,,,,,,,,,,,,
1930 ,1 ,21 ,,,,,,50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 ,,,,,,,,,,,,,67 ,,,,,,,,,,,,,467 ,,,183 ,,,,,,,,,,,,,,,,17 ,,,,,,,617 ,,383 ,,,,,,17 ,,,,333 ,,,,,,,,,,,,,,,,,,,,,333 ,,,,,,,,,,,,,,,,,,,,
1930 ,1 ,28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 ,,,,,,,,,,,,,17 ,,,,,117 ,,,,,,,,550 ,,,,,,,84 ,,,,,,,,,,,,,,,,,,,583 ,,433 ,,,,,,17 ,,,,467 ,,,,,,,,,,,,,66 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 ,2 ,4 ,,,,,,33 ,,,,,,,,,,,,,,,,17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617 ,,,,,,,,,,,,,17 ,,,,,,33 ,,,,,,,1034 ,,,50 ,,,,117 ,,,,,,,,,,,,100 ,,,,,,,249 ,,300 ,,,,,,,,,,583 ,,,,,,,,,,,,,317 ,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,
1930 ,2 ,11 ,,,,,,,,,,,,,,167 ,340 ,,,,,,,84 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617 ,,,,,,,,,,,,,134 ,,,,,,,,,,,,,384 ,,,34 ,117 ,,,83 ,,,,,,,,,17 ,83 ,,166 ,,,,,,,550 ,,350 ,,,,,,,,,,483 ,,,,,,,,,,,,,350 ,,,,,,17 ,,150 ,,,,,,,,,,,,,,,,,,,,
1930 ,2 ,18 ,,,,,,,,,,,,,,,83 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117 ,,,,,,,,,,,,,17 ,,,,,,,17 ,,,,,,350 ,,,33 ,,,,33 ,,,,,,,,,,,,34 ,,,,,,,116 ,,317 ,,,,,,,,,,300 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 ,2 ,25 ,,,,,,20 ,,,,,,,,40 ,,,,,,,,20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280 ,,,,,,,,,,,,,80 ,,,,,,,,,,,,,300 ,,,480 ,200 ,,,40 ,,,,,,,,,,,,100 ,,33 ,,,,,660 ,,620 ,,,,,,20 ,,,,1440 ,,,,,,,,100 ,,,,,240 ,,,,,,80 ,,1140 ,,,,,,,,,,,,,,,,,,,,
1930 ,3 ,4 ,,,,,,200 ,,,,,,,,,,,,183 ,,17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317 ,,,,,,,,,,,,,117 ,,,,,,,,,,,,,217 ,,,434 ,,,,,50 ,,,,,,,,,,,,,,,,,,484 ,,683 ,,,,,,,,,,700 ,,,,,,,,33 ,,,,,,,,,,,84 ,,700 ,,,,,,40 ,,,,,,,,,,,,,,
1930 ,3 ,11 ,,,,,,9600 ,,,,,,,,,,720 ,,320 ,,,,,,,,,,,,,,,,,,,,900 ,,,90 ,,,,,,,,,,,,,,,19520 ,,,1500 ,,61500 ,,,,,,,,,,,,,,,,,,,,,60 ,,,,,1200 ,,,40 ,,,,740 ,,,1980 ,,,,,240 ,1060 ,,,100 ,,,,,,,400 ,,1280 ,,,,,,,420 ,,,20440 ,,,,,,,,100 ,,,340 ,,11400 ,,,,,,,,660 ,,,,,,,,,,,,,,,,,,,,
1930 ,3 ,18 ,,,,,34 ,1700 ,,,,,,,,,,883 ,,17 ,,,,,,,,,,,,,,,,,,,,,,4733 ,,,,,,,,,,,,,,,,18049 ,,,3083 ,,34466 ,,,,,,,,,,,,,,,,,,,,,50 ,267 ,,,,167 ,,,,,,,1117 ,100 ,250 ,1717 ,,,,,,1417 ,,,84 ,,,,,,,300 ,,1033 ,,,,,,17 ,700 ,,,16250 ,,,,,,,,284 ,,,200 ,450 ,733 ,,,84 ,,,,,267 ,,,,,,,,,,,,,2833 ,,,,,,,
1930 ,3 ,25 ,,,,,,17 ,,,,,,,,,,317 ,,,,,,,,,,,,,,,,,,,,,,,,2367 ,117 ,,,,,,,,,,,,,,,2317 ,,,1067 ,,4267 ,,,,,,,,,,,,,,,,,,,,,33 ,17 ,,,,83 ,,,34 ,33 ,,,234 ,,100 ,84 ,,,,,,334 ,,,100 ,,,,,,,350 ,,517 ,,,,,,33 ,200 ,,,950 ,,,,,,,,50 ,,,33 ,67 ,33 ,,,17 ,,,,,,,,,,,,,,,,,,650 ,,,,,,,
1930 ,4 ,1 ,,,,,,33 ,,,,,,,,,,,,,,,,33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 ,,,,,,,,,,,,,,,,,,,33 ,,,,,,,100 ,,33 ,,,,,,17 ,,,,,,,,,,,,,,,17 ,,,,,,,,,,,,,,,,,,,,,,,17 ,133 ,,,,,,
1930 ,4 ,8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83 ,,,,,,,50 ,,50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 ,4 ,15 ,,,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225 ,,,,125 ,,,,,,,,,,,,,,,50 ,,,,,,,300 ,,275 ,,,,,,,,,,325 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,
1930 ,4 ,22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184 ,,,,,,,,,,,,,,17 ,,,,,,,,,,,,,,,,100 ,,,,,,,,,,,,67 ,,,84 ,,,,,,,367 ,,2233 ,,,,,,67 ,,,,2266 ,,,,,,,,,,,,,,,,,,,,,67 ,,,,,,,,,,,,,17 ,,,,,,,
1930 ,4 ,29 ,,,,,,17 ,,,,,,,,,,33 ,,200 ,,,,17 ,,33 ,,,,,,,,,,,,,,,,233 ,,,,,,,,,,,,,,,,,,,,,4430 ,,,,,,,,,,,,,34 ,,,,,83 ,,,,,,,,67 ,,,,183 ,,,83 ,,,50 ,,,,,,1050 ,,,100 ,,,,,,,550 ,,1900 ,,,,,,67 ,,,,13566 ,,,,,,,,,,,,33 ,850 ,,,17 ,,,,,,,,,,,,,,,,,,267 ,,,,,,,
1930 ,5 ,6 ,,,,,,,,,,,,,,,50 ,84 ,,750 ,,,,17 ,,,,,,,,,,,,,,,,267 ,,717 ,150 ,,,,,,,,,,,,,,,567 ,,,,,10417 ,,,,,,,,,,,,,17 ,,,,,,,,,184 ,,,,350 ,,,,850 ,,34 ,467 ,,,,,,,,17 ,2500 ,,,117 ,,,,,,,966 ,,3200 ,,,,,,67 ,117 ,,,20533 ,,,,,,,,50 ,,,200 ,50 ,1716 ,,,,,,,,517 ,,,,,,,,,,,,,250 ,867 ,,,,,,
1930 ,5 ,13 ,,,,,34 ,50 ,,,,,,,,,,100 ,,33 ,,,,67 ,,,,,,,,,,,,,,,,,,483 ,,,,,,,,,,,,,,,,600 ,,,,,10350 ,,,,,,,,,,,,,,,,,,,,,,284 ,,,,200 ,,,,550 ,,,67 ,,67 ,,,,,,167 ,1167 ,,,200 ,,,,,,,1217 ,,2733 ,,,,,,650 ,400 ,,,10687 ,,,,,,,,50 ,,,,133 ,866 ,,,17 ,,,17 ,,484 ,,,,,,,,,,,,,300 ,3183 ,,,,,,
1930 ,5 ,20 ,,,,,,33 ,,,,,,,,,,1550 ,,317 ,,,,50 ,,,,,50 ,,,,,,,,,,,,,6300 ,366 ,,,,,,,,,,,,,,,21216 ,,,1483 ,,347666 ,,,,,,,,,,,,,17 ,,,,,,,,83 ,1250 ,,,,167 ,,,,483 ,133 ,,317 ,,116 ,366 ,,,,,,800 ,,,83 ,,33 ,,,,,417 ,,2000 ,,,,,,150 ,1183 ,,,15132 ,,,,,,,,,,,616 ,500 ,5049 ,,,33 ,,,33 ,,467 ,,,,,,,,,,,,,317 ,1367 ,,634 ,,,,
1930 ,5 ,27 ,,,,,,66 ,,,,,,,,,,1187 ,,,,,,17 ,,,,,,,,,,,,,,,,,,3184 ,267 ,,,,,,,,,,,,,,,9667 ,,,,,287250 ,,,,,,,,,,,,,,,,,,,,,17 ,3099 ,,,,,,,,116 ,,,700 ,,184 ,666 ,,,,,100 ,567 ,,,100 ,,,,,,,233 ,,883 ,,,,,,17 ,616 ,,,11483 ,,,,,,,,50 ,,,450 ,500 ,1167 ,,,,,,,,183 ,,,,,,,,,,,,,100 ,,,583 ,,,,
1930 ,6 ,3 ,,,,,,,,,,,,,,,,,,,,,,83 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 ,,,,,,,,,,,,,,,,,,,,,,1367 ,,,,,,,,334 ,,,117 ,,,83 ,,,,,,150 ,,,,,,,,,,467 ,,483 ,,,,,,333 ,333 ,,,1150 ,,,,,,,,,,,17 ,150 ,334 ,,,,,,,,,,,,,,,,,,,,,217 ,,,,,,,
1930 ,6 ,10 ,,,,,,17 ,,,,,,,,,,,,,,,,50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783 ,,,,,,,,,,,,,17 ,,,,,,,,,5666 ,,,,100 ,,,,266 ,,,67 ,17 ,33 ,100 ,,,,,17 ,33 ,,,17 ,,,,,,,234 ,,617 ,,,,,,116 ,1250 ,,,633 ,,,,,,,,33 ,,,233 ,150 ,50 ,,,33 ,,,,,,,,,,,,,,,,,,184 ,,,17 ,,,,
1930 ,6 ,17 ,,,,,,,,,,,,,,,,,,,,,,67 ,,17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350 ,,,,,,,,,,,,,,,,,,,,,17 ,3666 ,,,,,,,,167 ,,,,,,217 ,,,,,,533 ,,,,,,,,,,366 ,,467 ,,,,,,117 ,2950 ,,,933 ,,,,,,,,17 ,,,50 ,84 ,,,,17 ,,,,,83 ,,,,,,,,,,,,,167 ,1150 ,,67 ,,,,
1930 ,6 ,24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 ,,,,,,,,,,,,,,,,100 ,,,400 ,,500 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,500 ,,700 ,,,,,,100 ,100 ,,,400 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 ,7 ,1 ,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000 ,,200 ,,,,,,,,,,,,,200 ,,,,,,,,,,,,,300 ,,,,,,,,,,,,,,,,,,,100 ,,,,,,,1300 ,,700 ,,,,,,300 ,,,,600 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,,
1930 ,7 ,8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,1300 ,,100 ,,,200 ,,,100 ,,,,600 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 ,7 ,15 ,,,,,,,,,,,,,,,,,,300 ,,,,200 ,,,,,2800 ,,,,13800 ,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,2400 ,,4100 ,,,,,,,,,,,,,,,,,,,200 ,200 ,,,,,,,,,300 ,,,,,,,,,,,,,,,,200 ,,,,,,,1400 ,,600 ,,,,,,400 ,,,,2300 ,,,,,,,,600 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 ,7 ,22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,900 ,,,,52000 ,,600 ,,,,,,,1500 ,,,,,,,,,,,,300 ,,200 ,,,,,3100 ,,6800 ,,,,,,,,,,,,,200 ,,,,,,200 ,,,,,,,,,,200 ,,600 ,,,,,,,,,,,400 ,,,200 ,,,,,,,600 ,,300 ,,,,,,,800 ,,,178000 ,,,,,,,,300 ,,,,,5000 ,,,,,,,,500 ,,,,,,,,,,,,,,,,500 ,,,,
1930 ,7 ,29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900 ,,,,,100 ,,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,300 ,,,,,,,,,,,,,,,,,,,,,,,500 ,,,,,,,,200 ,,,,300 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 ,8 ,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,100 ,,,,,200 ,,,,,,,,,,,,300 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 ,8 ,12 ,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,400 ,,,,,,600 ,,100 ,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 ,,,,,,,,,
1930 ,8 ,19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 ,,,,,100 ,,,,,500 ,,,100 ,,,,,200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 ,8 ,26 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 ,9 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
